,provinceName,districtName,productName,amount
0,ADANA,ALADAĞ,Kurşunsuz Benzin 95,8.09
1,ADANA,ALADAĞ,Gazyağı,9.33
2,ADANA,ALADAĞ,Motorin UltraForce,8.34
3,ADANA,ALADAĞ,Motorin EcoForce,8.31
4,ADANA,ALADAĞ,Kalorifer Yakıtı,8.41
5,ADANA,ALADAĞ,Fuel Oil,7.49
6,ADANA,ALADAĞ,Yüksek Kükürtlü Fuel Oil,6.5
7,ADANA,CEYHAN,Kurşunsuz Benzin 95,8.07
8,ADANA,CEYHAN,Gazyağı,9.34
9,ADANA,CEYHAN,Motorin UltraForce,8.33
10,ADANA,CEYHAN,Motorin EcoForce,8.3
11,ADANA,CEYHAN,Kalorifer Yakıtı,8.42
12,ADANA,CEYHAN,Fuel Oil,7.48
13,ADANA,CEYHAN,Yüksek Kükürtlü Fuel Oil,6.51
14,ADANA,ÇUKUROVA,Kurşunsuz Benzin 95,8.07
15,ADANA,ÇUKUROVA,Gazyağı,9.34
16,ADANA,ÇUKUROVA,Motorin UltraForce,8.33
17,ADANA,ÇUKUROVA,Motorin EcoForce,8.3
18,ADANA,ÇUKUROVA,Kalorifer Yakıtı,8.41
19,ADANA,ÇUKUROVA,Fuel Oil,7.47
20,ADANA,ÇUKUROVA,Yüksek Kükürtlü Fuel Oil,6.51
21,ADANA,FEKE,Kurşunsuz Benzin 95,8.08
22,ADANA,FEKE,Gazyağı,9.33
23,ADANA,FEKE,Motorin UltraForce,8.33
24,ADANA,FEKE,Motorin EcoForce,8.3
25,ADANA,FEKE,Kalorifer Yakıtı,8.42
26,ADANA,FEKE,Fuel Oil,7.49
27,ADANA,FEKE,Yüksek Kükürtlü Fuel Oil,6.5
28,ADANA,İMAMOĞLU,Kurşunsuz Benzin 95,8.07
29,ADANA,İMAMOĞLU,Gazyağı,9.34
30,ADANA,İMAMOĞLU,Motorin UltraForce,8.33
31,ADANA,İMAMOĞLU,Motorin EcoForce,8.3
32,ADANA,İMAMOĞLU,Kalorifer Yakıtı,8.42
33,ADANA,İMAMOĞLU,Fuel Oil,7.48
34,ADANA,İMAMOĞLU,Yüksek Kükürtlü Fuel Oil,6.51
35,ADANA,KARAİSALI,Kurşunsuz Benzin 95,8.07
36,ADANA,KARAİSALI,Gazyağı,9.33
37,ADANA,KARAİSALI,Motorin UltraForce,8.33
38,ADANA,KARAİSALI,Motorin EcoForce,8.3
39,ADANA,KARAİSALI,Kalorifer Yakıtı,8.41
40,ADANA,KARAİSALI,Fuel Oil,7.48
41,ADANA,KARAİSALI,Yüksek Kükürtlü Fuel Oil,6.5
42,ADANA,KARATAŞ,Kurşunsuz Benzin 95,8.07
43,ADANA,KARATAŞ,Gazyağı,9.34
44,ADANA,KARATAŞ,Motorin UltraForce,8.33
45,ADANA,KARATAŞ,Motorin EcoForce,8.3
46,ADANA,KARATAŞ,Kalorifer Yakıtı,8.42
47,ADANA,KARATAŞ,Fuel Oil,7.48
48,ADANA,KARATAŞ,Yüksek Kükürtlü Fuel Oil,6.51
49,ADANA,KOZAN,Kurşunsuz Benzin 95,8.08
50,ADANA,KOZAN,Gazyağı,9.34
51,ADANA,KOZAN,Motorin UltraForce,8.34
52,ADANA,KOZAN,Motorin EcoForce,8.31
